Timestamp,Email address,Gender,Work_type, Business_name , Position ,Stock_record , App_user ,Simplicity_of_use, Tech_savyy,Time_spent , Internet_access, User_interests , App_name,App_payments ,App_features , App_usage ,User_remarks
10/2/2023 11:50,,Female,I work in a boutique shop where i sell clothes ,Destine boutique,CEO,Manual register,No,very simple,Yes,4,Yes,3,0,0,4,Rarely,I think an app will assist my business do better
10/2/2023 12:11,,Female,Teaching,Utange school,Employee,Manual register,No,very simple,Yes,0.08,Yes,0,0,0,2,Never,
10/2/2023 12:53,,Female,Project Manager- Overseeing projects ,Maziwa Breast-feeding ,Manager,Online register,No,very simple,Yes,3,Yes,2,0,0,1,Always,
10/2/2023 13:40,,Female,Making clothes,Mara Designs,Sole owner,Manual register,No,I haven't used an app,Yes,2,Yes,-1,0,0,1,Never,
10/2/2023 13:49,,Female,"I design clothes for all purpose, class, and age.",Golie Trend ,Sole owner,Manual register,Maybe,"I haven't practically used apps, only costing and pricing calculator ",Yes,0,Yes,0,0,0,0,Sometimes,None 
10/2/2023 13:51,,Female,Fashion designing ,Favie's place,Sole owner,Manual register,No,0,Yes,1,Yes,0,0,1,0,Rarely,None
10/2/2023 16:54,,Male,Marketing of corporate trainings and human resource development services,Leagile Trainings Ltd,Manager,Manual register,No,I have none,Yes,1,Yes,0,0,0,1,Never,
10/2/2023 17:39,,Female,Data Analysis,M & Sousa Construction,Employee,"Hybrid, both manual and excel",No,never used,Yes,0,Yes,0,0,0,0,Never,
10/2/2023 18:20,,Female,I process catfish and panla,ThreeFold Agro Consult,CEO,Use an App,Yes,somehow simple,Yes,0.7,Yes,1,Simple Invoice Manager,0,1,Always,
10/2/2023 19:39,,Female,Secondary School teacher,Lagos State Teaching Service Commission,Employee,Manual register,No,somehow simple,Yes,0.5,Yes,1,0,0,1,Rarely,Digital skills
10/2/2023 23:13,,Female,insurance ,Insurance supermarket market,Employee,System documentation ,No,0,Yes,0,Yes,0,0,1,1,Always,
10/2/2023 23:56,,Female,Selling children books,The little librarian ,Sole owner,Manual register,No,difficult,Yes,0.4,Yes,0,0,0,2,Never,
12/2/2023 13:24,,Male,Cloud Services,Delights,Sole owner,Online register,Yes,very simple,Yes,1,Yes,1,CRM,1,1,Always,
13/02/2023 23:00:42,,Male,Parcel delivery services ,Fro-PICK-To ,Sole owner,Manual register,No,0,Yes,0.5,Yes,1,0,0,1,Never,
14/02/2023 00:07:45,,Female,I am a product manager,Babban Gona Farmer services,Employee,"Online register, Use an App",Yes,somehow simple,Yes,0.5,Yes,1,0,0,1,Sometimes,None for now
14/02/2023 08:25:11,,Female,I sell ladies wears,@5k_wardrobe ,Sole owner,Use an App,Yes,somehow simple,Yes,1,Yes,4,Vyapar,1,0,Sometimes,
14/02/2023 22:23:11,,Female,Making dresses for children especially girls ,VANTESS KIDDIESAFRIK ,Sole owner,Manual register,No,difficult,Yes,0.5,Yes,0,0,0,0,Rarely,None
14/02/2023 22:40:23,,Male,Video editing ,Swagelok ,Employee,Manual register,No,0,Yes,2,Yes,0,0,0,3,Rarely,None
14/02/2023 22:56:35,,Female,Fashion retail, Sophie's Glam,Sole owner,Use an App,Yes,very simple,Yes,1,Yes,2,Bumpa,0,1,Very often,Nil
14/02/2023 23:57:02,,Female,"CARTA for SMEs,this is a small scale business that involves managing of inventories and database system efficiently and effectively by tracking income,profits made,losses and also trying to scale their stocks.",CARTA FOR SMEs,Employee,Online register,Yes,somehow simple,Yes,2,Yes,2,0,1,2,Very often,The should carryout on the job training for new employees.
15/02/2023 00:12:44,,Male,Business consulting,Damisrael consulting,CEO,Online register,Maybe,somehow simple,Yes,2,Yes,0,0,1,1,Sometimes,
15/02/2023 00:17:28,,Male,Sale of Hail oil,Samaritan Oil,Manager,Manual register,No,0,Yes,1,Yes,0,0,0,0,Very often,
15/02/2023 00:18:24,,Male,Translator ,Marketing ,Employee,Online register,No,somehow simple,Yes,1,Yes,1,Kus,0,1,Rarely,
15/02/2023 00:42:40,,Female,Products and services,Kandypalacehairs,CEO,Manual register,No,0,Yes,1,Yes,0,0,1,1,Never,
15/02/2023 02:11:26,,Male,Footwear production ,Exquisite Blend Footwears,Sole owner,Manual register,No,Never used,Yes,0,Yes,0,0,0,1,Never,
16/02/2023 09:40:50,,Male,I sell shoes ,Shoes and glam,Sole owner,Manual register,No,very simple,Yes,1,Yes,1,0,0,5,Sometimes,
16/02/2023 13:40:51,,Female,I work as a Account Manager in a Marketing Communications Agency ,Tequila Nigeria,CEO,Online register,No,somehow simple,Yes,0.5,Yes,2,0,0,1,Always,
16/02/2023 14:01:27,,Female,Im a sales advisor in an insurance company. My job involves sales and marketing ,Custodian life Assurance plc,Employee,Use an App,Yes,somehow simple,Yes,0,Yes,2,0,0,1,Always,
17/02/2023 11:41:28,,Male,Monitoring ,MFM,Employee,Manual register,No,0,No,0,No,0,0,0,0,Never,No
17/02/2023 19:00:21,,Female,Online marketer,Expertnaire,Employee,Manual register,No,somehow simple,Yes,1.5,Yes,0,0,0,4,Sometimes,Not yet
18/02/2023 20:35:09,,Male,Photography.. capturing moments and events,SH_ photography,Sole owner,Manual register,Yes,very simple,Yes,0.16,Yes,1,Ms excel,0,1,Sometimes,
20/02/2023 10:58:48,,Female,"Typing, photocopying, 2mins passport, scanning etc. ",Primetech Business Centre,Manager,Manual register,No,Don't know cos I have not use one,Yes,0.03,Yes,0,0,0,0,Never,
20/02/2023 14:35:15,,Female,"Electricity. Taking energy readings, data entry and predictions ",Transmission Company of Nigeria ,Data entry clerk,"Manual register, Online register",No,Indifferent ,No,0.08,Yes,0,0,0,0,Never,
21/02/2023 16:13:29,,Female,Selling coffee,Morning Coffee,Sole owner,Manual register,No,somehow simple,Yes,1,Yes,0,0,0,2,Rarely,
21/02/2023 16:15:09,,Male,I sell car spare parts,Murugi car dealers,CEO,Manual register,No,hard,Yes,3,No,-1,0,0,3,Never,
21/02/2023 16:16:59,,Male,I am a data analyst,Dataminers ,Manager,Online register,Yes,somehow simple,Yes,6,Yes,1,data tracker,0,2,Sometimes,
21/02/2023 16:18:39,,Female,I sell eggs,Minner Eggs shop,Sole owner,Manual register,No,difficult,Yes,3,Yes,0,0,0,2,Rarely,
21/02/2023 16:21:03,,Female,I sell thrift clothes,My_thrift,Sole owner,Manual register,No,n/a,Yes,6,Yes,0,0,0,3,Never,
21/02/2023 16:22:52,,Male,butchery business,Nyama zone,CEO,Manual register,No,hard,Yes,3,No,0,0,0,1,Never,
21/02/2023 16:24:12,,Female,farming,Akili farm,CEO,Manual register,No,somehow simple,Yes,2,Yes,0,0,0,2,Never,
